HJD_V	                &             ∆m_V	&	HJD_R	               &             ∆m_R	&	HJD_I	                &	∆m_I		
2458848.99029 	&	1.141	&	2458848.99116 	&	0.75	&	2458848.99186 	&	0.229
2458848.99271 	&	1.13	&	2458848.99359 	&	0.731	&	2458848.99429 	&	0.186
2458848.99514 	&	1.111	&	2458848.99602 	&	0.706	&	2458848.99672 	&	0.189
2458848.99825 	&	1.075	&	2458848.99913 	&	0.68	&	2458848.99984 	&	0.169
2458849.00068 	&	1.064	&	2458849.00155 	&	0.666	&	2458849.00226 	&	0.175
2458849.00310 	&	1.014	&	2458849.00398 	&	0.642	&	2458849.00469 	&	0.155
2458849.00553 	&	0.991	&	2458849.00640 	&	0.611	&	2458849.00711 	&	0.117
2458849.00795 	&	0.965	&	2458849.00883 	&	0.591	&	2458849.01196 	&	0.091
2458849.01038 	&	0.955	&	2458849.01126 	&	0.569	&	2458849.01681 	&	0.062
2458849.01280 	&	0.918	&	2458849.01368 	&	0.545	&	2458849.01924 	&	0.032
2458849.01523 	&	0.913	&	2458849.01611 	&	0.527	&	2458849.02166 	&	0.025
2458849.01765 	&	0.876	&	2458849.01853 	&	0.511	&	2458849.02409 	&	0.02
2458849.02008 	&	0.857	&	2458849.02096 	&	0.487	&	2458849.02650 	&	0.024
2458849.02250 	&	0.837	&	2458849.02338 	&	0.487	&	2458849.02894 	&	0.004
2458849.02493 	&	0.801	&	2458849.02581 	&	0.471	&	2458849.03135 	&	0.003
2458849.02735 	&	0.807	&	2458849.02823 	&	0.452	&	2458849.03378 	&	-0.019
2458849.02978 	&	0.796	&	2458849.03066 	&	0.448	&	2458849.03622 	&	-0.021
2458849.03220 	&	0.763	&	2458849.03308 	&	0.439	&	2458849.03863 	&	-0.008
2458849.03463 	&	0.755	&	2458849.03551 	&	0.423	&	2458849.04106 	&	-0.031
2458849.03705 	&	0.765	&	2458849.03793 	&	0.414	&	2458849.04348 	&	-0.023
2458849.03948 	&	0.739	&	2458849.04036 	&	0.394	&	2458849.04591 	&	-0.024
2458849.04191 	&	0.738	&	2458849.04278 	&	0.397	&	2458849.04833 	&	-0.028
2458849.04433 	&	0.722	&	2458849.04521 	&	0.397	&	2458849.05076 	&	-0.032
2458849.04675 	&	0.733	&	2458849.04763 	&	0.389	&	2458849.05318 	&	-0.033
2458849.04918 	&	0.724	&	2458849.05006 	&	0.383	&	2458849.05561 	&	-0.034
2458849.05160 	&	0.708	&	2458849.05248 	&	0.382	&	2458849.05803 	&	-0.044
2458849.05403 	&	0.712	&	2458849.05491 	&	0.379	&	2458849.06046 	&	-0.051
2458849.05646 	&	0.708	&	2458849.05733 	&	0.377	&	2458849.06288 	&	-0.071
2458849.05888 	&	0.706	&	2458849.05976 	&	0.367	&	2458849.06531 	&	-0.05
2458849.06130 	&	0.7	&	2458849.06218 	&	0.373	&	2458849.06773 	&	-0.054
2458849.06373 	&	0.698	&	2458849.06461 	&	0.365	&	2458849.07016 	&	-0.053
2458849.06615 	&	0.685	&	2458849.06702 	&	0.357	&	2458849.07258 	&	-0.072
2458849.06858 	&	0.692	&	2458849.06946 	&	0.358	&	2458849.07501 	&	-0.069
2458849.07099 	&	0.694	&	2458849.07187 	&	0.364	&	2458849.07743 	&	-0.072
2458849.07343 	&	0.685	&	2458849.07430 	&	0.346	&	2458849.07986 	&	-0.086
2458849.07584 	&	0.683	&	2458849.07672 	&	0.339	&	2458849.08228 	&	-0.079
2458849.07827 	&	0.68	&	2458849.07915 	&	0.346	&	2458849.08471 	&	-0.072
2458849.08069 	&	0.68	&	2458849.08157 	&	0.347	&	2458849.08713 	&	-0.084
2458849.08312 	&	0.672	&	2458849.08400 	&	0.332	&	2458849.08955 	&	-0.065
2458849.08554 	&	0.681	&	2458849.08642 	&	0.346	&	2458849.09198 	&	-0.078
2458849.08797 	&	0.67	&	2458849.08885 	&	0.344	&	2458849.09440 	&	-0.075
2458849.09039 	&	0.67	&	2458849.09127 	&	0.335	&	2458849.09683 	&	-0.066
2458849.09282 	&	0.679	&	2458849.09370 	&	0.353	&	2458849.09925 	&	-0.058
2458849.09524 	&	0.679	&	2458849.09612 	&	0.347	&	2458849.10168 	&	-0.078
2458849.09767 	&	0.686	&	2458849.09855 	&	0.347	&	2458849.10410 	&	-0.059
2458849.10009 	&	0.677	&	2458849.10097 	&	0.35	&	2458849.10653 	&	-0.056
2458849.10252 	&	0.677	&	2458849.10339 	&	0.352	&	2458849.10895 	&	-0.076
2458849.10494 	&	0.681	&	2458849.10582 	&	0.347	&	2458849.11138 	&	-0.053
2458849.10737 	&	0.687	&	2458849.10824 	&	0.35	&	2458849.11379 	&	-0.06
2458849.10979 	&	0.68	&	2458849.11067 	&	0.352	&	2458849.11623 	&	-0.064
2458849.11222 	&	0.68	&	2458849.11309 	&	0.351	&	2458849.11864 	&	-0.048
2458849.11464 	&	0.69	&	2458849.11552 	&	0.354	&	2458849.12107 	&	-0.048
2458849.11707 	&	0.694	&	2458849.11794 	&	0.36	&	2458849.12349 	&	-0.053
2458849.11949 	&	0.687	&	2458849.12037 	&	0.37	&	2458849.12592 	&	-0.054
2458849.12192 	&	0.695	&	2458849.12279 	&	0.367	&	2458849.12834 	&	-0.045
2458849.12434 	&	0.705	&	2458849.12522 	&	0.372	&	2458849.13077 	&	-0.054
2458849.12677 	&	0.704	&	2458849.12765 	&	0.374	&	2458849.13319 	&	-0.049
